2017-08-07 15:25:20.579037: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
2017-08-07 15:25:20.579056: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2017-08-07 15:25:20.579061: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
2017-08-07 15:25:20.579078: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
2017-08-07 15:25:20.579081: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
2017-08-07 15:25:20.665054: I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:893] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
2017-08-07 15:25:20.665340: I tensorflow/core/common_runtime/gpu/gpu_device.cc:940] Found device 0 with properties: 
name: GeForce GTX TITAN
major: 3 minor: 5 memoryClockRate (GHz) 0.8755
pciBusID 0000:01:00.0
Total memory: 5.94GiB
Free memory: 5.67GiB
2017-08-07 15:25:20.665353: I tensorflow/core/common_runtime/gpu/gpu_device.cc:961] DMA: 0 
2017-08-07 15:25:20.665357: I tensorflow/core/common_runtime/gpu/gpu_device.cc:971] 0:   Y 
2017-08-07 15:25:20.665363: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Creating TensorFlow device (/gpu:0) -> (device: 0, name: GeForce GTX TITAN, pci bus id: 0000:01:00.0)
check orthogonality of inner layer h2 at start
[[ 0.99999917  0.01671816  0.03328104 ...,  0.00155461  0.00504376
   0.02205222]
 [ 0.01671816  0.98626745 -0.00960444 ...,  0.0023455   0.05134469
  -0.00833696]
 [ 0.03328104 -0.00960444  0.99305898 ...,  0.00543281 -0.0168699
  -0.01325009]
 ..., 
 [ 0.00155461  0.0023455   0.00543281 ...,  0.97948092  0.0321269
  -0.00589724]
 [ 0.00504376  0.05134469 -0.0168699  ...,  0.0321269   1.01016939
   0.02852187]
 [ 0.02205222 -0.00833696 -0.01325009 ..., -0.00589724  0.02852187
   0.99102187]]
Epoch: 1, cost_train = 1.302136434, accuracy_train = 73.08%, accuracy_test = 82.89%
Epoch: 2, cost_train = 0.781907561, accuracy_train = 81.39%, accuracy_test = 88.03%
Epoch: 3, cost_train = 0.621607706, accuracy_train = 84.49%, accuracy_test = 89.92%
Epoch: 4, cost_train = 0.528941085, accuracy_train = 87.26%, accuracy_test = 91.68%
Epoch: 5, cost_train = 0.467279495, accuracy_train = 87.93%, accuracy_test = 92.45%
Epoch: 6, cost_train = 0.426156999, accuracy_train = 89.56%, accuracy_test = 93.04%
Epoch: 7, cost_train = 0.397838339, accuracy_train = 89.98%, accuracy_test = 92.87%
Epoch: 8, cost_train = 0.376225512, accuracy_train = 90.29%, accuracy_test = 93.86%
Epoch: 9, cost_train = 0.348889453, accuracy_train = 91.38%, accuracy_test = 94.31%
Epoch: 10, cost_train = 0.333898013, accuracy_train = 92.05%, accuracy_test = 94.16%
Epoch: 11, cost_train = 0.322639859, accuracy_train = 91.63%, accuracy_test = 94.64%
Epoch: 12, cost_train = 0.308465997, accuracy_train = 91.74%, accuracy_test = 94.61%
Epoch: 13, cost_train = 0.293853019, accuracy_train = 92.28%, accuracy_test = 94.94%
Epoch: 14, cost_train = 0.284282228, accuracy_train = 92.81%, accuracy_test = 95.23%
Epoch: 15, cost_train = 0.276792738, accuracy_train = 93.23%, accuracy_test = 95.24%
Epoch: 16, cost_train = 0.269372706, accuracy_train = 93.06%, accuracy_test = 95.47%
Epoch: 17, cost_train = 0.262540869, accuracy_train = 93.27%, accuracy_test = 95.35%
Epoch: 18, cost_train = 0.253814035, accuracy_train = 93.35%, accuracy_test = 95.53%
Epoch: 19, cost_train = 0.248681195, accuracy_train = 93.39%, accuracy_test = 95.76%
Epoch: 20, cost_train = 0.244015311, accuracy_train = 93.39%, accuracy_test = 95.78%
Epoch: 21, cost_train = 0.236985716, accuracy_train = 93.50%, accuracy_test = 95.88%
Epoch: 22, cost_train = 0.231380234, accuracy_train = 94.20%, accuracy_test = 96.09%
Epoch: 23, cost_train = 0.228920549, accuracy_train = 94.35%, accuracy_test = 96.04%
Epoch: 24, cost_train = 0.222693360, accuracy_train = 93.89%, accuracy_test = 96.08%
Epoch: 25, cost_train = 0.218361764, accuracy_train = 94.34%, accuracy_test = 96.17%
Epoch: 26, cost_train = 0.217823347, accuracy_train = 94.20%, accuracy_test = 96.09%
Epoch: 27, cost_train = 0.212541730, accuracy_train = 94.48%, accuracy_test = 96.26%
Epoch: 28, cost_train = 0.206235454, accuracy_train = 93.95%, accuracy_test = 96.37%
