Free memory: 5.75GiB
2017-08-08 14:35:30.513650: I tensorflow/core/common_runtime/gpu/gpu_device.cc:961] DMA: 0 
2017-08-08 14:35:30.513655: I tensorflow/core/common_runtime/gpu/gpu_device.cc:971] 0:   Y 
2017-08-08 14:35:30.513661: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Creating TensorFlow device (/gpu:0) -> (device: 0, name: GeForce GTX TITAN, pci bus id: 0000:01:00.0)
check orthogonality of inner layer h2 at start
[[  1.00000179e+00   3.15892568e-04   1.73035935e-02 ...,  -5.50063036e-04
    8.24835058e-03  -5.06040547e-03]
 [  3.15892568e-04   9.73555684e-01  -1.67631079e-03 ...,  -7.34409923e-03
    1.97415170e-03   8.43880232e-03]
 [  1.73035935e-02  -1.67631079e-03   9.99067008e-01 ...,  -1.81208481e-03
   -2.26946790e-02  -2.77298782e-03]
 ..., 
 [ -5.50063036e-04  -7.34409923e-03  -1.81208481e-03 ...,   9.91514683e-01
    2.62353700e-02   5.67122642e-03]
 [  8.24835058e-03   1.97415170e-03  -2.26946790e-02 ...,   2.62353700e-02
    9.72184479e-01  -5.70304831e-03]
 [ -5.06040547e-03   8.43880232e-03  -2.77298782e-03 ...,   5.67122642e-03
   -5.70304831e-03   9.70850945e-01]]
Epoch: 1, cost_train = 0.894079262, accuracy_train = 87.53%, accuracy_test = 91.36%
Epoch: 2, cost_train = 0.472067602, accuracy_train = 91.06%, accuracy_test = 93.74%
Epoch: 3, cost_train = 0.375994951, accuracy_train = 91.22%, accuracy_test = 93.60%
Epoch: 4, cost_train = 0.324013147, accuracy_train = 92.98%, accuracy_test = 94.60%
Epoch: 5, cost_train = 0.291990231, accuracy_train = 93.84%, accuracy_test = 95.54%
Epoch: 6, cost_train = 0.263739420, accuracy_train = 94.55%, accuracy_test = 95.91%
Epoch: 7, cost_train = 0.245208254, accuracy_train = 94.55%, accuracy_test = 96.14%
Epoch: 8, cost_train = 0.231212213, accuracy_train = 95.51%, accuracy_test = 96.34%
Epoch: 9, cost_train = 0.220379188, accuracy_train = 95.23%, accuracy_test = 96.51%
Epoch: 10, cost_train = 0.207237299, accuracy_train = 95.88%, accuracy_test = 96.68%
Epoch: 11, cost_train = 0.202442950, accuracy_train = 95.58%, accuracy_test = 96.55%
Epoch: 12, cost_train = 0.191338651, accuracy_train = 95.85%, accuracy_test = 97.07%
Epoch: 13, cost_train = 0.184496802, accuracy_train = 96.23%, accuracy_test = 97.12%
Epoch: 14, cost_train = 0.174630097, accuracy_train = 96.23%, accuracy_test = 97.29%
Epoch: 15, cost_train = 0.172398393, accuracy_train = 96.57%, accuracy_test = 97.24%
Epoch: 16, cost_train = 0.171739488, accuracy_train = 96.58%, accuracy_test = 97.46%
Epoch: 17, cost_train = 0.166852520, accuracy_train = 96.57%, accuracy_test = 97.28%
Epoch: 18, cost_train = 0.159921617, accuracy_train = 96.80%, accuracy_test = 97.48%
Epoch: 19, cost_train = 0.155268276, accuracy_train = 96.46%, accuracy_test = 97.57%
Epoch: 20, cost_train = 0.152784932, accuracy_train = 96.21%, accuracy_test = 97.06%
Epoch: 21, cost_train = 0.147679373, accuracy_train = 97.04%, accuracy_test = 97.57%
Epoch: 22, cost_train = 0.146988436, accuracy_train = 96.79%, accuracy_test = 97.54%
Epoch: 23, cost_train = 0.141685418, accuracy_train = 96.74%, accuracy_test = 97.54%
Epoch: 24, cost_train = 0.142697008, accuracy_train = 96.89%, accuracy_test = 97.59%
Epoch: 25, cost_train = 0.136731056, accuracy_train = 97.32%, accuracy_test = 97.76%
Epoch: 26, cost_train = 0.132502610, accuracy_train = 97.40%, accuracy_test = 97.84%
Epoch: 27, cost_train = 0.131812439, accuracy_train = 97.12%, accuracy_test = 97.75%
Epoch: 28, cost_train = 0.128805884, accuracy_train = 97.44%, accuracy_test = 97.75%
Epoch: 29, cost_train = 0.128446521, accuracy_train = 97.27%, accuracy_test = 97.78%
Epoch: 30, cost_train = 0.124753122, accuracy_train = 97.19%, accuracy_test = 97.81%
Epoch: 31, cost_train = 0.126524557, accuracy_train = 96.99%, accuracy_test = 97.77%
Epoch: 32, cost_train = 0.121213832, accuracy_train = 97.42%, accuracy_test = 98.01%
Epoch: 33, cost_train = 0.121816459, accuracy_train = 97.41%, accuracy_test = 97.83%
Epoch: 34, cost_train = 0.119609475, accuracy_train = 97.40%, accuracy_test = 97.77%
Epoch: 35, cost_train = 0.118865702, accuracy_train = 97.42%, accuracy_test = 97.91%
Epoch: 36, cost_train = 0.115023499, accuracy_train = 97.67%, accuracy_test = 98.18%
Epoch: 37, cost_train = 0.115867143, accuracy_train = 97.51%, accuracy_test = 98.05%
Epoch: 38, cost_train = 0.113006438, accuracy_train = 97.57%, accuracy_test = 98.13%
Epoch: 39, cost_train = 0.113138162, accuracy_train = 97.66%, accuracy_test = 98.21%
Epoch: 40, cost_train = 0.109524303, accuracy_train = 97.68%, accuracy_test = 98.16%
