deep@deep-pc:~/Projects/oplu_whitening$ python oplu_mlp_white_ankivil.py
Shapes:
training:
(50000, 1600)
(50000, 10)
testing:
(10000, 1600)
(10000, 10)
---------
2017-08-08 20:55:23.342981: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
2017-08-08 20:55:23.343000: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2017-08-08 20:55:23.343004: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
2017-08-08 20:55:23.343007: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
2017-08-08 20:55:23.343011: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
2017-08-08 20:55:23.418340: I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:893] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
2017-08-08 20:55:23.418656: I tensorflow/core/common_runtime/gpu/gpu_device.cc:940] Found device 0 with properties: 
name: GeForce GTX TITAN
major: 3 minor: 5 memoryClockRate (GHz) 0.8755
pciBusID 0000:01:00.0
Total memory: 5.94GiB
Free memory: 5.75GiB
2017-08-08 20:55:23.418691: I tensorflow/core/common_runtime/gpu/gpu_device.cc:961] DMA: 0 
2017-08-08 20:55:23.418699: I tensorflow/core/common_runtime/gpu/gpu_device.cc:971] 0:   Y 
2017-08-08 20:55:23.418710: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Creating TensorFlow device (/gpu:0) -> (device: 0, name: GeForce GTX TITAN, pci bus id: 0000:01:00.0)
check orthogonality of inner layer h2 at start
[[  1.00000024e+00   4.62112348e-09  -3.12927040e-09 ...,  -9.36039424e-09
   -7.31506899e-09   6.83941925e-09]
 [  4.62112348e-09   1.00000083e+00   7.16081106e-09 ...,  -6.40088427e-09
   -3.42353479e-09   3.29254557e-09]
 [ -3.12927040e-09   7.16081106e-09   1.00000131e+00 ...,  -9.36714262e-09
    2.10513829e-09   1.58469096e-08]
 ..., 
 [ -9.36039424e-09  -6.40088427e-09  -9.36714262e-09 ...,   1.00000107e+00
    4.40266001e-09   9.65939595e-09]
 [ -7.31506899e-09  -3.42353479e-09   2.10513829e-09 ...,   4.40266001e-09
    1.00000000e+00   3.25961480e-09]
 [  6.83941925e-09   3.29254557e-09   1.58469096e-08 ...,   9.65939595e-09
    3.25961480e-09   1.00000155e+00]]
2017-08-08 20:55:27.553926: I tensorflow/core/common_runtime/gpu/pool_allocator.cc:247] PoolAllocator: After 3255 get requests, put_count=3235 evicted_count=1000 eviction_rate=0.309119 and unsatisfied allocation rate=0.344086
2017-08-08 20:55:27.553950: I tensorflow/core/common_runtime/gpu/pool_allocator.cc:259] Raising pool_size_limit_ from 100 to 110
Epoch: 1, cost_train = 1.128844335, accuracy_train = 84.01%, accuracy_test = 86.35%
Epoch: 2, cost_train = 0.497614722, accuracy_train = 90.31%, accuracy_test = 92.09%
Epoch: 3, cost_train = 0.383383965, accuracy_train = 91.52%, accuracy_test = 92.46%
Epoch: 4, cost_train = 0.325314563, accuracy_train = 93.69%, accuracy_test = 94.44%
Epoch: 5, cost_train = 0.289633353, accuracy_train = 93.15%, accuracy_test = 94.23%
Epoch: 6, cost_train = 0.257598824, accuracy_train = 94.43%, accuracy_test = 93.79%
Epoch: 7, cost_train = 0.243073510, accuracy_train = 94.48%, accuracy_test = 95.33%
Epoch: 8, cost_train = 0.226042733, accuracy_train = 95.57%, accuracy_test = 95.55%
Epoch: 9, cost_train = 0.215323577, accuracy_train = 95.55%, accuracy_test = 95.84%
Epoch: 10, cost_train = 0.204915750, accuracy_train = 96.72%, accuracy_test = 96.35%
Epoch: 11, cost_train = 0.199778587, accuracy_train = 95.95%, accuracy_test = 95.64%
Epoch: 12, cost_train = 0.188607893, accuracy_train = 96.37%, accuracy_test = 96.45%
Epoch: 13, cost_train = 0.183028502, accuracy_train = 96.77%, accuracy_test = 96.39%
Epoch: 14, cost_train = 0.171826715, accuracy_train = 96.54%, accuracy_test = 96.73%
Epoch: 15, cost_train = 0.166586407, accuracy_train = 96.99%, accuracy_test = 96.75%
Epoch: 16, cost_train = 0.162520342, accuracy_train = 97.13%, accuracy_test = 96.83%
Epoch: 17, cost_train = 0.162972897, accuracy_train = 97.09%, accuracy_test = 96.58%
Epoch: 18, cost_train = 0.153569964, accuracy_train = 97.40%, accuracy_test = 97.19%
Epoch: 19, cost_train = 0.152172187, accuracy_train = 96.78%, accuracy_test = 97.02%
Epoch: 20, cost_train = 0.149342232, accuracy_train = 97.05%, accuracy_test = 96.84%
Epoch: 21, cost_train = 0.145532160, accuracy_train = 97.22%, accuracy_test = 96.88%
Epoch: 22, cost_train = 0.141488179, accuracy_train = 97.31%, accuracy_test = 97.12%
Epoch: 23, cost_train = 0.136812427, accuracy_train = 97.23%, accuracy_test = 96.96%
Epoch: 24, cost_train = 0.136440437, accuracy_train = 97.74%, accuracy_test = 97.28%
Epoch: 25, cost_train = 0.131479049, accuracy_train = 97.62%, accuracy_test = 97.00%
Epoch: 26, cost_train = 0.129055617, accuracy_train = 97.42%, accuracy_test = 97.21%
Epoch: 27, cost_train = 0.125604284, accuracy_train = 98.11%, accuracy_test = 97.26%
Epoch: 28, cost_train = 0.122956465, accuracy_train = 97.86%, accuracy_test = 97.42%
Epoch: 29, cost_train = 0.125698127, accuracy_train = 97.80%, accuracy_test = 97.28%
Epoch: 30, cost_train = 0.119625528, accuracy_train = 97.80%, accuracy_test = 97.50%
Epoch: 31, cost_train = 0.123083845, accuracy_train = 97.70%, accuracy_test = 97.51%
Epoch: 32, cost_train = 0.117853917, accuracy_train = 97.95%, accuracy_test = 97.68%
Epoch: 33, cost_train = 0.116139203, accuracy_train = 98.31%, accuracy_test = 97.68%
Epoch: 34, cost_train = 0.110896780, accuracy_train = 97.89%, accuracy_test = 97.48%
Epoch: 35, cost_train = 0.112854015, accuracy_train = 98.02%, accuracy_test = 97.72%
Epoch: 36, cost_train = 0.110907479, accuracy_train = 98.10%, accuracy_test = 97.63%
