2017-08-07 17:20:28.950286: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
2017-08-07 17:20:28.950305: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2017-08-07 17:20:28.950309: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
2017-08-07 17:20:28.950313: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
2017-08-07 17:20:28.950316: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
2017-08-07 17:20:29.038229: I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:893] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
2017-08-07 17:20:29.038531: I tensorflow/core/common_runtime/gpu/gpu_device.cc:940] Found device 0 with properties: 
name: GeForce GTX TITAN
major: 3 minor: 5 memoryClockRate (GHz) 0.8755
pciBusID 0000:01:00.0
Total memory: 5.94GiB
Free memory: 5.67GiB
2017-08-07 17:20:29.038544: I tensorflow/core/common_runtime/gpu/gpu_device.cc:961] DMA: 0 
2017-08-07 17:20:29.038548: I tensorflow/core/common_runtime/gpu/gpu_device.cc:971] 0:   Y 
2017-08-07 17:20:29.038554: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Creating TensorFlow device (/gpu:0) -> (device: 0, name: GeForce GTX TITAN, pci bus id: 0000:01:00.0)
check orthogonality of inner layer h2 at start
[[  9.99999344e-01   2.22549643e-02  -3.22834647e-04 ...,   1.13677476e-02
   -2.82735302e-04   3.65208946e-02]
 [  2.22549643e-02   1.02116919e+00  -8.45362374e-04 ...,   1.70408573e-03
   -2.40392447e-03  -3.50390747e-02]
 [ -3.22834647e-04  -8.45362374e-04   1.01534879e+00 ...,   1.16323307e-02
    1.18385367e-04  -2.48532500e-02]
 ..., 
 [  1.13677476e-02   1.70408573e-03   1.16323307e-02 ...,   1.02657354e+00
   -5.20186545e-03   2.31050188e-03]
 [ -2.82735302e-04  -2.40392447e-03   1.18385367e-04 ...,  -5.20186545e-03
    1.08620870e+00   1.86647847e-02]
 [  3.65208946e-02  -3.50390747e-02  -2.48532500e-02 ...,   2.31050188e-03
    1.86647847e-02   9.99013007e-01]]
Epoch: 1, cost_train = 1.741642971, accuracy_train = 60.51%, accuracy_test = 80.41%
Epoch: 2, cost_train = 1.161218802, accuracy_train = 70.70%, accuracy_test = 85.64%
Epoch: 3, cost_train = 0.932108751, accuracy_train = 75.96%, accuracy_test = 86.88%
Epoch: 4, cost_train = 0.798007973, accuracy_train = 79.55%, accuracy_test = 88.36%
Epoch: 5, cost_train = 0.694689440, accuracy_train = 81.95%, accuracy_test = 90.06%
Epoch: 6, cost_train = 0.628597491, accuracy_train = 83.94%, accuracy_test = 90.97%
Epoch: 7, cost_train = 0.576240572, accuracy_train = 85.69%, accuracy_test = 91.30%
Epoch: 8, cost_train = 0.536159307, accuracy_train = 86.54%, accuracy_test = 92.12%
Epoch: 9, cost_train = 0.495393050, accuracy_train = 87.53%, accuracy_test = 92.60%
Epoch: 10, cost_train = 0.466428604, accuracy_train = 88.41%, accuracy_test = 92.65%
Epoch: 11, cost_train = 0.440494976, accuracy_train = 88.04%, accuracy_test = 93.12%
Epoch: 12, cost_train = 0.421044444, accuracy_train = 88.67%, accuracy_test = 93.73%
Epoch: 13, cost_train = 0.399818857, accuracy_train = 89.45%, accuracy_test = 93.85%
Epoch: 14, cost_train = 0.385556768, accuracy_train = 89.82%, accuracy_test = 94.05%
Epoch: 15, cost_train = 0.368556313, accuracy_train = 90.70%, accuracy_test = 94.14%
Epoch: 16, cost_train = 0.358892114, accuracy_train = 90.91%, accuracy_test = 94.39%
Epoch: 17, cost_train = 0.348445464, accuracy_train = 91.07%, accuracy_test = 94.61%
Epoch: 18, cost_train = 0.335985602, accuracy_train = 90.95%, accuracy_test = 94.71%
Epoch: 19, cost_train = 0.329795410, accuracy_train = 91.08%, accuracy_test = 95.14%
Epoch: 20, cost_train = 0.319703621, accuracy_train = 91.03%, accuracy_test = 94.96%
Epoch: 21, cost_train = 0.311917899, accuracy_train = 91.39%, accuracy_test = 95.13%
Epoch: 22, cost_train = 0.305506305, accuracy_train = 92.35%, accuracy_test = 95.17%
Epoch: 23, cost_train = 0.299191123, accuracy_train = 92.35%, accuracy_test = 95.53%
Epoch: 24, cost_train = 0.288523202, accuracy_train = 92.29%, accuracy_test = 95.59%
Epoch: 25, cost_train = 0.282838560, accuracy_train = 92.49%, accuracy_test = 95.39%
Epoch: 26, cost_train = 0.279074803, accuracy_train = 92.70%, accuracy_test = 95.59%
Epoch: 27, cost_train = 0.273110825, accuracy_train = 92.73%, accuracy_test = 95.63%
Epoch: 28, cost_train = 0.264958530, accuracy_train = 92.66%, accuracy_test = 95.71%
Epoch: 29, cost_train = 0.264989701, accuracy_train = 92.77%, accuracy_test = 95.81%
Epoch: 30, cost_train = 0.259673572, accuracy_train = 93.17%, accuracy_test = 95.84%
Epoch: 31, cost_train = 0.252673155, accuracy_train = 93.15%, accuracy_test = 95.95%
Epoch: 32, cost_train = 0.251337182, accuracy_train = 93.94%, accuracy_test = 95.99%
Epoch: 33, cost_train = 0.246712802, accuracy_train = 93.39%, accuracy_test = 96.24%
Epoch: 34, cost_train = 0.242570901, accuracy_train = 93.54%, accuracy_test = 96.27%
Epoch: 35, cost_train = 0.238382177, accuracy_train = 94.05%, accuracy_test = 96.30%
Epoch: 36, cost_train = 0.236435122, accuracy_train = 93.89%, accuracy_test = 96.22%
Epoch: 37, cost_train = 0.231809536, accuracy_train = 93.79%, accuracy_test = 96.29%
Epoch: 38, cost_train = 0.228152803, accuracy_train = 93.97%, accuracy_test = 96.33%
Epoch: 39, cost_train = 0.228508072, accuracy_train = 93.96%, accuracy_test = 96.34%
Epoch: 40, cost_train = 0.226678862, accuracy_train = 93.70%, accuracy_test = 96.38%
Epoch: 41, cost_train = 0.222206289, accuracy_train = 94.09%, accuracy_test = 96.34%
Epoch: 42, cost_train = 0.218122722, accuracy_train = 94.19%, accuracy_test = 96.37%
Epoch: 43, cost_train = 0.217133880, accuracy_train = 94.19%, accuracy_test = 96.42%
Epoch: 44, cost_train = 0.212391325, accuracy_train = 94.04%, accuracy_test = 96.55%
Epoch: 45, cost_train = 0.210197087, accuracy_train = 94.39%, accuracy_test = 96.45%
Epoch: 46, cost_train = 0.207940828, accuracy_train = 94.16%, accuracy_test = 96.45%
Epoch: 47, cost_train = 0.206918790, accuracy_train = 94.78%, accuracy_test = 96.75%
Epoch: 48, cost_train = 0.203438446, accuracy_train = 94.77%, accuracy_test = 96.81%
Epoch: 49, cost_train = 0.201167528, accuracy_train = 94.57%, accuracy_test = 96.72%
Epoch: 50, cost_train = 0.200709234, accuracy_train = 94.36%, accuracy_test = 96.56%
Epoch: 51, cost_train = 0.198505665, accuracy_train = 94.66%, accuracy_test = 96.70%
Epoch: 52, cost_train = 0.198154981, accuracy_train = 94.70%, accuracy_test = 96.62%
Epoch: 53, cost_train = 0.193276182, accuracy_train = 94.95%, accuracy_test = 96.69%
Epoch: 54, cost_train = 0.194151659, accuracy_train = 94.76%, accuracy_test = 96.70%
Epoch: 55, cost_train = 0.187124287, accuracy_train = 94.91%, accuracy_test = 96.89%
Epoch: 56, cost_train = 0.189943835, accuracy_train = 94.87%, accuracy_test = 96.66%
Epoch: 57, cost_train = 0.186736314, accuracy_train = 94.78%, accuracy_test = 96.92%
Epoch: 58, cost_train = 0.186307472, accuracy_train = 95.25%, accuracy_test = 96.99%
Epoch: 59, cost_train = 0.183801379, accuracy_train = 95.15%, accuracy_test = 96.94%
Epoch: 60, cost_train = 0.184704271, accuracy_train = 95.18%, accuracy_test = 96.91%
Epoch: 61, cost_train = 0.182257364, accuracy_train = 94.88%, accuracy_test = 96.96%
Epoch: 62, cost_train = 0.180863948, accuracy_train = 95.28%, accuracy_test = 96.94%
Epoch: 63, cost_train = 0.176509603, accuracy_train = 95.19%, accuracy_test = 96.82%
Epoch: 64, cost_train = 0.176157980, accuracy_train = 95.26%, accuracy_test = 96.99%
Epoch: 65, cost_train = 0.177014150, accuracy_train = 95.60%, accuracy_test = 97.08%
Epoch: 66, cost_train = 0.173741004, accuracy_train = 94.97%, accuracy_test = 97.15%
Epoch: 67, cost_train = 0.175486998, accuracy_train = 95.14%, accuracy_test = 97.10%
Epoch: 68, cost_train = 0.172939390, accuracy_train = 95.02%, accuracy_test = 97.00%
Epoch: 69, cost_train = 0.172259538, accuracy_train = 95.43%, accuracy_test = 97.17%
Epoch: 70, cost_train = 0.170573357, accuracy_train = 95.40%, accuracy_test = 97.13%
Epoch: 71, cost_train = 0.168441283, accuracy_train = 95.27%, accuracy_test = 96.96%
Epoch: 72, cost_train = 0.167458182, accuracy_train = 95.70%, accuracy_test = 97.16%
Epoch: 73, cost_train = 0.166052149, accuracy_train = 95.60%, accuracy_test = 97.17%
Epoch: 74, cost_train = 0.167982116, accuracy_train = 95.09%, accuracy_test = 97.22%
Epoch: 75, cost_train = 0.166435036, accuracy_train = 95.74%, accuracy_test = 97.18%
Epoch: 76, cost_train = 0.163374960, accuracy_train = 95.79%, accuracy_test = 97.35%
Epoch: 77, cost_train = 0.162045737, accuracy_train = 95.68%, accuracy_test = 97.35%
Epoch: 78, cost_train = 0.161840255, accuracy_train = 95.89%, accuracy_test = 97.29%
Epoch: 79, cost_train = 0.158499991, accuracy_train = 95.85%, accuracy_test = 97.33%
Epoch: 80, cost_train = 0.159123027, accuracy_train = 95.70%, accuracy_test = 97.16%
Epoch: 81, cost_train = 0.159616058, accuracy_train = 95.93%, accuracy_test = 97.28%
Epoch: 82, cost_train = 0.155576266, accuracy_train = 95.73%, accuracy_test = 97.32%
Epoch: 83, cost_train = 0.156865178, accuracy_train = 95.74%, accuracy_test = 97.46%
Epoch: 84, cost_train = 0.156376156, accuracy_train = 95.86%, accuracy_test = 97.37%
Epoch: 85, cost_train = 0.153946284, accuracy_train = 96.05%, accuracy_test = 97.46%
Epoch: 86, cost_train = 0.154616288, accuracy_train = 96.05%, accuracy_test = 97.40%
Epoch: 87, cost_train = 0.152663861, accuracy_train = 96.03%, accuracy_test = 97.34%
Epoch: 88, cost_train = 0.152559762, accuracy_train = 95.87%, accuracy_test = 97.35%
Epoch: 89, cost_train = 0.150477878, accuracy_train = 96.33%, accuracy_test = 97.37%
Epoch: 90, cost_train = 0.149864165, accuracy_train = 96.09%, accuracy_test = 97.37%
Epoch: 91, cost_train = 0.149098424, accuracy_train = 95.67%, accuracy_test = 97.45%
Epoch: 92, cost_train = 0.146618974, accuracy_train = 96.34%, accuracy_test = 97.30%
Epoch: 93, cost_train = 0.147085398, accuracy_train = 96.14%, accuracy_test = 97.51%
Epoch: 94, cost_train = 0.146247316, accuracy_train = 96.14%, accuracy_test = 97.46%
Epoch: 95, cost_train = 0.144733059, accuracy_train = 96.35%, accuracy_test = 97.43%
Epoch: 96, cost_train = 0.144012653, accuracy_train = 96.07%, accuracy_test = 97.55%
Epoch: 97, cost_train = 0.146943985, accuracy_train = 96.06%, accuracy_test = 97.38%
Epoch: 98, cost_train = 0.144514791, accuracy_train = 96.03%, accuracy_test = 97.52%
Epoch: 99, cost_train = 0.143779039, accuracy_train = 96.35%, accuracy_test = 97.57%
Epoch: 100, cost_train = 0.143254554, accuracy_train = 96.31%, accuracy_test = 97.56%
Epoch: 101, cost_train = 0.141116622, accuracy_train = 96.39%, accuracy_test = 97.40%
Epoch: 102, cost_train = 0.140092523, accuracy_train = 96.20%, accuracy_test = 97.45%
Epoch: 103, cost_train = 0.141610060, accuracy_train = 95.74%, accuracy_test = 97.54%
Epoch: 104, cost_train = 0.138311721, accuracy_train = 96.28%, accuracy_test = 97.50%
Epoch: 105, cost_train = 0.138167347, accuracy_train = 95.94%, accuracy_test = 97.64%
